# live display measurement log
# script=live-measurements-child.py
# timestamp=2026-04-30T17:36:25.791576+02:00
# record_interval_seconds=30.0
# spotread_timeout=15.0
sample_index,timestamp,elapsed_seconds,X,Y,Z,x,y,backlight_temp_c,als_absolute_nits,als_brightness_pct,delta_nits,delta_pct
35,2026-04-30T17:53:59.874989+02:00,1029.599,1160.431075,1152.747268,1471.829753,0.306586,0.304556,49.90,1226.217200,100,-73.469932,-5.991592
36,2026-04-30T17:54:29.879465+02:00,1059.604,1159.759695,1152.023287,1471.651948,0.306536,0.304491,50.00,1226.217200,100,-74.193913,-6.050634
37,2026-04-30T17:54:59.885233+02:00,1089.610,1159.266068,1151.369648,1471.471577,0.306513,0.304425,50.30,1226.217200,100,-74.847552,-6.103939
38,2026-04-30T17:55:29.891060+02:00,1119.615,1158.167078,1150.279997,1470.770916,0.306457,0.304370,50.40,1226.217200,100,-75.937203,-6.192802
39,2026-04-30T17:55:59.897213+02:00,1149.622,1157.816763,1149.774757,1470.940046,0.306420,0.304291,50.60,1226.217200,100,-76.442443,-6.234005
40,2026-04-30T17:56:29.911895+02:00,1179.636,1156.646566,1148.761690,1470.417870,0.306329,0.304241,50.70,1226.217200,100,-77.455510,-6.316622
41,2026-04-30T17:57:04.912200+02:00,1214.637,1156.011954,1148.039179,1470.413646,0.306272,0.304159,50.80,1226.217200,100,-78.178021,-6.375544
42,2026-04-30T17:57:34.914349+02:00,1244.639,1155.375014,1147.237142,1469.883773,0.306263,0.304106,51.10,1226.217200,100,-78.980058,-6.440952
43,2026-04-30T17:58:04.922413+02:00,1274.647,1154.703634,1146.513160,1469.705968,0.306212,0.304040,51.20,1226.217200,100,-79.704040,-6.499994
44,2026-04-30T17:58:34.925473+02:00,1304.650,1154.102031,1145.934634,1469.530501,0.306163,0.303996,51.30,1226.217200,100,-80.282566,-6.547173
45,2026-04-30T17:59:04.939653+02:00,1334.664,1153.500428,1145.356109,1469.355035,0.306113,0.303952,51.50,1226.217200,100,-80.861091,-6.594353
46,2026-04-30T17:59:34.946177+02:00,1364.671,1152.615958,1144.338272,1468.825389,0.306076,0.303878,51.60,1226.217200,100,-81.878928,-6.677359
47,2026-04-30T18:00:04.951282+02:00,1394.676,1151.873371,1143.690874,1468.826069,0.305992,0.303818,51.70,1226.217200,100,-82.526326,-6.730156
48,2026-04-30T18:00:34.958017+02:00,1424.682,1151.664040,1143.254506,1468.819052,0.305989,0.303755,52.00,1226.217200,100,-82.962694,-6.765742
49,2026-04-30T18:01:04.965042+02:00,1454.689,1150.919125,1142.527582,1468.294084,0.305954,0.303723,52.10,1226.217200,100,-83.689618,-6.825024
50,2026-04-30T18:01:34.972394+02:00,1484.697,1149.998785,1141.809841,1468.297330,0.305842,0.303664,52.20,1226.217200,100,-84.407359,-6.883557
51,2026-04-30T18:02:04.977761+02:00,1514.702,1150.108191,1141.512688,1468.111601,0.305902,0.303615,52.30,1226.217200,100,-84.704512,-6.907790
52,2026-04-30T18:02:34.982470+02:00,1544.707,1149.328836,1140.863819,1467.938700,0.305825,0.303572,52.50,1226.217200,100,-85.353381,-6.960707
53,2026-04-30T18:03:04.989491+02:00,1574.714,1148.727233,1140.285293,1467.763234,0.305775,0.303528,52.50,1226.217200,100,-85.931907,-7.007886
54,2026-04-30T18:03:35.012445+02:00,1604.737,1148.019085,1139.559840,1467.411847,0.305732,0.303479,52.50,1226.217200,100,-86.657360,-7.067048
55,2026-04-30T18:04:05.012669+02:00,1634.737,1147.738547,1139.200056,1467.583316,0.305695,0.303421,52.70,1226.217200,100,-87.017144,-7.096389
56,2026-04-30T18:04:35.017462+02:00,1664.742,1147.206720,1138.766986,1467.410188,0.305646,0.303397,52.80,1226.217200,100,-87.450214,-7.131707
57,2026-04-30T18:05:09.525226+02:00,1699.250,1146.713093,1138.113347,1467.229817,0.305623,0.303331,53.00,1226.217200,100,-88.103853,-7.185012
58,2026-04-30T18:05:39.530165+02:00,1729.255,1146.111490,1137.534821,1467.054350,0.305573,0.303286,53.10,1226.217200,100,-88.682379,-7.232192
59,2026-04-30T18:06:09.535970+02:00,1759.260,1145.616432,1137.103223,1467.054804,0.305516,0.303246,53.00,1226.217200,100,-89.113977,-7.267389
